"date","open","high","low","close","volume","turnover","return"
"2010/9/30",923.825,942.539,921.357,942.539,6997.37,225241.32,0.016884823
"2010/10/8",946.469,963.18,945.618,959.863,10839.6,341585.02,0.0182132681683349
"2010/10/11",960.913,961.173,941.912,947.11,14468.7,470248.65,-0.013375323221287
"2010/10/12",946.626,959.976,945.011,951.79,12401.92,391527.88,0.00492917949944971
"2010/10/13",951.326,962.738,940.645,962.738,13305.17,412369.05,0.0114368860994425
"2010/10/14",963.286,975.907,956.864,958.495,13964.05,457734.71,-0.0044169623343473
"2010/10/15",954.117,957.769,937.12,944.254,13524.98,434311.12,-0.0149691482381398
"2010/10/18",941.874,941.874,913.816,932.359,13278.76,424301.26,-0.0126772640990547
"2010/10/19",932.826,1005.591,932.323,995.922,23390.86,775244.29,0.0659510076141343
"2010/10/20",986.654,1024.579,986.033,1004.542,26381.33,859774.98,0.00861805396264526
"2010/10/21",1001.682,1001.682,983.656,991.842,15691.23,485364.68,-0.0127231748217449
"2010/10/22",991.14,1023.7,991.14,1013.45,17657.49,559642.61,0.0215518102781305
"2010/10/25",1018.08,1043.09,1018.08,1039.05,20636.89,671740.96,0.0249464824527497
"2010/10/26",1041.53,1041.91,1020.94,1036.01,18384.14,589969.38,-0.00293003785422741
"2010/10/27",1034.86,1048.56,1028.7,1030.59,17016.89,562718.77,-0.00524534252102882
"2010/10/28",1024.7,1038.62,1023.49,1038.62,15924.77,536352.07,0.00776145515504378
"2010/10/29",1042.4,1069.75,1042.4,1064.52,22355.18,767878.38,0.0246310844039845
"2010/11/1",1071.628,1113.623,1071.628,1107.523,28179,983659.62,0.0396019968775105
"2010/11/2",1108.093,1108.093,1074.58,1075.151,24545.32,865922.15,-0.0296648733842648
"2010/11/3",1063.2,1063.2,1040.548,1040.621,16204.92,545422.28,-0.0326434664961637
"2010/11/4",1041.419,1057.714,1037.239,1057.714,13387.9,454920.86,0.0162923251962033
"2010/11/5",1067.873,1072.219,1058.259,1072.219,13970.24,479582.21,0.0136203572971683
"2010/11/8",1077.504,1107.061,1077.504,1107.061,17864.98,623522,0.0319784232638964
"2010/11/9",1110.434,1117.521,1102.014,1115.648,19002.22,674654.77,0.00772664592714456
"2010/11/10",1115.743,1147.481,1113.754,1141.582,22666.94,791695.87,0.0229796176922523
"2010/11/11",1137.079,1163.698,1132.358,1132.722,22979.06,797245.95,-0.00779143405766902
"2010/11/12",1126.854,1140.634,1080.266,1082.24,22922.84,805011.25,-0.045590618366413
"2010/11/15",1087.807,1148.539,1086.517,1148.539,20913.13,772172.95,0.0594577326181103
"2010/11/16",1154.409,1175.311,1111.496,1126.175,28944.65,1038697.78,-0.0196637648579197
"2010/11/17",1115.12,1132.862,1080.933,1085.349,20761.14,710650.37,-0.036925340790777
"2010/11/18",1090.138,1102.845,1077.059,1102.845,15699.07,521980.67,0.0159916103006257
"2010/11/19",1106.753,1153.171,1105.594,1153.171,24142.28,811127.76,0.0446223344919598
"2010/11/22",1153.264,1194.196,1151.764,1174.938,30342.44,1060855.4,0.0186998411964812
"2010/11/23",1172.06,1183.842,1148.814,1183.502,21573.63,768175.16,0.0072624596268005
"2010/11/24",1176.424,1208.45,1174.675,1208.45,21203.83,759437.88,0.020860706828544
"2010/11/25",1212.768,1215.741,1177.826,1186.358,21012.09,752684.29,-0.0184504367006566
"2010/11/26",1184.803,1200.498,1179.278,1196.019,17470.79,632563.3,0.00811043168868775
"2010/11/29",1195.313,1221.745,1193.414,1220.11,19640.42,728794.62,0.0199424769251886
"2010/11/30",1219.076,1219.117,1146.975,1181.504,23623.48,851600.64,-0.0321528154491011
"2010/12/1",1176.61,1182.57,1169.89,1177.18,11946.92,436779.43,-0.00366645539963972
"2010/12/2",1187.1,1192.8,1177.81,1177.84,12515.49,463597.72,0.000560504808689188
"2010/12/3",1177.17,1178.67,1148.09,1157.94,12048.67,445079.83,-0.0170396882380794
"2010/12/6",1157.72,1159.3,1124.94,1134.38,11331.21,405991.83,-0.0205563181620736
"2010/12/7",1132.33,1162.58,1123.76,1161.69,9249.36,343238.66,0.0237895952510057
"2010/12/8",1160.92,1176.42,1158.1,1160.24,10183.73,380419.1,-0.00124896115601114
"2010/12/9",1158.82,1160.91,1144.18,1144.53,9963.02,361731.64,-0.0136328078831198
"2010/12/10",1139.83,1167.68,1136.33,1166.8,10298.98,386552.23,0.0192708866246916
"2010/12/13",1175.51,1210.75,1175.51,1209.27,16247.63,623317.52,0.0357519127499311
"2010/12/14",1211.46,1219.71,1204.66,1218.52,14226.49,533962.61,0.00762013581036847
"2010/12/15",1217.81,1224.05,1209.29,1211.8,14288.35,525572.21,-0.00553015004297741
"2010/12/16",1209.62,1233.62,1209.34,1225.03,14752.3,529529.28,0.0108584759639871
"2010/12/17",1222.93,1233.39,1222.93,1232.98,12838.42,480174.09,0.00646866995775053
"2010/12/20",1235.67,1239.6,1180.53,1212.34,17495.93,678841.55,-0.0168816270911982
"2010/12/21",1212.09,1222.3,1204.48,1215.02,12103.81,449164.34,0.00220816120309131
"2010/12/22",1214.77,1215.79,1199.68,1201.65,11092.18,405762.28,-0.0110649252152841
"2010/12/23",1198.74,1200.76,1175.86,1176.36,10730.45,410642.08,-0.0212706872676005
"2010/12/24",1170.7,1170.7,1140.13,1144.5,10118.28,382436.25,-0.0274570646690133
"2010/12/27",1145.7,1154.53,1100.52,1105.3,9968.25,368671.55,-0.034851069075712
"2010/12/28",1098.94,1099.18,1080.4,1091.48,9421.66,322639.41,-0.0125822179029402
"2010/12/29",1091.82,1113.31,1091.82,1113.31,7896.72,284955.89,0.0198029865852112
"2010/12/30",1113.56,1122.41,1106.43,1117.21,8218.67,302875.34,0.00349694598058203
"2010/12/31",1117.36,1138.47,1117.36,1137.66,8417.35,319030.4,0.0181390152944045
"2011/1/4",1142.17,1155.52,1140.04,1155.11,10632.97,438379.54,0.0152220562421057
